StartTime	Dur	Proto	SrcAddr	Sport	Dir	DstAddr	Dport	State	sTos	dTos	TotPkts	TotBytes	Label
1970/01/01 01:00:00.000000	  0.000000	       llc	          00:00:00:00:00:00	0	   ->	          00:00:00:00:00:00	0	  INT			       1	        60	                                   flow=Background
1970/01/01 01:00:06.470037	  1.992538	       arp	                    0.0.0.0		  who	                  10.0.2.16		  INT			       3	       126	                               flow=Background-ARP
1970/01/01 01:00:06.470181	  0.000000	 ipv6-icmp	                         ::	135	   ->	          ff02::1:ff56:8562	0	  NNS	    0		       1	        78	                                   flow=Background
1970/01/01 01:00:06.475533	  3.990149	 ipv6-icmp	  fe80::6dd3:1409:3456:8562	133	   ->	                    ff02::2	0	  NRS	    0		       2	       140	                                   flow=Background
1970/01/01 01:00:06.475587	  0.494588	 ipv6-icmp	  fe80::6dd3:1409:3456:8562	143	   ->	                   ff02::16	0	  UNK	    0		       2	       180	                                   flow=Background
1970/01/01 01:00:06.519653	  3.004626	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  INT	    0		       3	       438	                                   flow=Background
1970/01/01 01:00:06.702765	  2.766314	       arp	                  10.0.2.16		  who	                   10.0.2.2		  CON			       6	       252	                               flow=Background-ARP
1970/01/01 01:00:07.720914	  0.090625	       udp	  fe80::6dd3:1409:3456:8562	50791	   ->	                  ff02::1:3	5355	  INT	    0		       2	       168	                                   flow=Background
1970/01/01 01:00:07.721218	  0.090645	       udp	                  10.0.2.16	54326	   ->	                224.0.0.252	5355	  INT	    0		       2	       128	                   flow=From-Botnet-V1-UDP-Attempt
1970/01/01 01:00:07.721398	  0.000140	       arp	                   10.0.2.2		  who	                  10.0.2.16		  CON			       2	        84	                               flow=Background-ARP
1970/01/01 01:00:07.811863	  0.000000	      icmp	                   10.0.2.2	0x000b	   ->	                  10.0.2.16	0x0000	  TXD	  192		       1	        92	                                   flow=Background
1970/01/01 01:00:08.024213	  0.075112	       udp	                  10.0.2.16	50005	  <->	                    8.8.8.8	53	  CON	    0	    0	       2	       257	                           flow=From-Botnet-V1-DNS
1970/01/01 01:00:08.101208	  0.074571	       udp	                  10.0.2.16	51357	  <->	                    8.8.8.8	53	  CON	    0	    0	       2	       257	                           flow=From-Botnet-V1-DNS
1970/01/01 01:00:08.176495	  0.279820	       tcp	                  10.0.2.16	49161	   ->	              193.45.10.144	80	FSPA*	    0	    0	      10	       832	               flow=From-Botnet-V1-TCP-Established
1970/01/01 01:00:13.529697	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
1970/01/01 01:00:14.471151	  0.000000	 ipv6-icmp	  fe80::6dd3:1409:3456:8562	133	   ->	                    ff02::2	0	  NRS	    0		       1	        70	                                   flow=Background
1970/01/01 01:00:21.531616	  0.000000	       udp	  fe80::6dd3:1409:3456:8562	546	   ->	                  ff02::1:2	547	  REQ	    0		       1	       146	                                   flow=Background
